restaurant_name,address,location,primary_cuisine,rating,votes,cost_for_two,sentiment_compound,cluster,segment
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.872,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.909,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.881,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.917,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.898,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.88,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.521,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.89,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.883,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.879,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.883,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.888,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.895,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.886,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.877,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.885,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.879,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.888,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.877,3,Low-traction small places
Bonsouth,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Chettinad,4.2,2626,1300,0.88,3,Low-traction small places
Bonum cibum,"1502, Ground Floor, Sector 1, HSR Layout, HSR, Bangalore",HSR,Lebanese,4.5,253,1200,0.893,3,Low-traction small places
Bonum cibum,"1502, Ground Floor, Sector 1, HSR Layout, HSR, Bangalore",HSR,Lebanese,4.5,253,1200,0.932,3,Low-traction small places
Bonum cibum,"1502, Ground Floor, Sector 1, HSR Layout, HSR, Bangalore",HSR,Lebanese,4.5,253,1200,0.876,3,Low-traction small places
Bonum cibum,"1502, Ground Floor, Sector 1, HSR Layout, HSR, Bangalore",HSR,Lebanese,4.5,253,1200,0.916,3,Low-traction small places
Bonum cibum,"1502, Ground Floor, Sector 1, HSR Layout, HSR, Bangalore",HSR,Lebanese,4.5,253,1200,0.924,3,Low-traction small places
Bonum cibum,"1502, Ground Floor, Sector 1, HSR Layout, HSR, Bangalore",HSR,Lebanese,4.5,253,1200,0.898,3,Low-traction small places
Bonum cibum,"1502, Ground Floor, Sector 1, HSR Layout, HSR, Bangalore",HSR,Lebanese,4.5,253,1200,0.946,3,Low-traction small places
Book My Cakes,"1, ATR Complex, Murgeshpalya, Old Airport Road, Bangalore",Old Airport Road,Bakery,3.3,4,300,0.0,2,Premium destination
Boondock Bistro,"33, Sundari Armadale, 3rd Floor, Above Axis Bank, Next to Forum Value Mall, Whitefield Main Road, Whitefield, Bangalore",Whitefield,Steak,3.9,1649,900,0.638,1,Budget crowd-pleasers
Boondock Bistro,"33, Sundari Armadale, 3rd Floor, Above Axis Bank, Next to Forum Value Mall, Whitefield Main Road, Whitefield, Bangalore",Whitefield,Steak,3.9,1649,900,0.591,1,Budget crowd-pleasers
